Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Вітрук,Емілія,Володимирівна,Жіноча,29.10.1980,Бібліограф,село Олександрія,"узвіз Естафетна, буд. 08, Берегове, 77117",773 78 79,haievskyirozaliia@example.net
Засуха,Максим,Володимирович,Чоловіча,09.01.1986,Бібліотекар,хутір Прип'ять ,"проспект Професора Каришковського, буд. 270 кв. 371, Вознесенськ, 53036",+380 87 007 70 69,valerii88@example.org
Слюсар,Єва,Володимирівна,Жіноча,16.12.1993,Няня,селище Копичинці,"проспект Псковський, буд. 2 кв. 847, Рава-Руська, 59700",+380 03 809 63 02,izabashta@example.org
Шинкаренко,Євген,Сергійович,Чоловіча,06.09.1985,Детектив,хутір Дебальцеве,"сквер Терещенка Володимира, буд. 75 кв. 523, Тальне, 32841",+380 26 868-97-84,zaietsprokhir@example.com
Бевзенко,Феофан,Іванович,Чоловіча,11.04.1972,Бібліограф,селище Покров,"вулиця Чорноморський 4-й, буд. 49, Південне , 44796",+380 49 641 50 62,bebeshkoivan@example.com
Ґоляш,Надія,Іванівна,Жіноча,06.04.1975,Випробувач,хутір Перевальськ,"площа 14-та Лінія 6-й ст. Люстдорфської дороги, буд. 28 кв. 186, Залізне, 91863",+380 70 012-55-35,leopold86@example.org
Чалий,Леонтій,Сергійович,Чоловіча,11.03.1969,Реабілітолог,селище Ніжин,"набережна Овідіопольська дорога, буд. 6 кв. 4, Павлоград, 79295",043 540 74 45,iereskookhrim@example.org
Давиденко,Амалія,Василівна,Жіноча,06.04.1999,Детектив,село Берестечко,"проспект Сонячна, буд. 95 кв. 79, Збараж, 97452",709 24 32,babiukoleksandr@example.com
Оберемко,Олександр,Сергійович,Чоловіча,05.02.1964,Клоун,хутір Люботин,"проспект Краснослобідська, буд. 594 кв. 3, Часів Яр, 85890",+380 57 193-94-85,bohuslav75@example.net
Литвиненко,Ліза,Володимирівна,Жіноча,27.02.1974,Математик,місто Козятин,"шосе Гвоздична, буд. 06 кв. 509, Вільногірськ, 47942",035 832-97-59,nikoliukalbert@example.org
Радченко,Віктор,Сергійович,Чоловіча,03.02.1952,Фотограф,хутір Дніпрорудне,"шосе Восьмого березня 5-й, буд. 9 кв. 377, Новий Буг, 16298",314-82-77,solomoniermolenko@example.com
Христич,Августин,Сергійович,Чоловіча,25.11.1997,Інженер,місто Лисичанськ,"проспект Слєпньова, буд. 092 кв. 179, Боярка, 50069",021 362-99-36,hartym@example.org
Атаманчук,Семен,Вікторович,Чоловіча,13.09.1940,Модель,хутір Сніжне,"сквер Фестивальний, буд. 0 кв. 75, Кобеляки, 29428",470 65 20,iaremalesyk@example.net
Макаренко,Антон,Миколайович,Чоловіча,08.03.1939,Паралегал,село Путивль,"парк Лізи Чайкіної, буд. 57, Заставна, 87356",225 72 16,marta72@example.net
Гоголь-Яновський,Лесь,Володимирович,Чоловіча,05.03.1967,Водій,селище Черкаси,"проспект Парковий, буд. 09 кв. 664, Шепетівка, 49728",031 340-65-33,irena38@example.com
Забарний,Левко,Іванович,Чоловіча,10.02.1989,Промисловець,село Жашків,"вулиця Українська, буд. 57 кв. 5, Рава-Руська, 83881",052 37 62,avhustyntsymbaliuk@example.org
Гриценко,Єва,Володимирівна,Жіноча,30.08.1995,Фольклорист,хутір Заставна,"набережна Скрипковий, буд. 38, Марганець , 47820",+380 (05) 402-94-15,veniiamyn39@example.org
Абрагамовський,Галина,Сергіївна,Жіноча,21.10.1951,Футболіст,місто Вишневе ,"сквер Коцюбинського, буд. 7, Гуляйполе, 69132",+380 41 744-32-19,wlaba@example.net
Величко,Єва,Вікторівна,Жіноча,01.02.1995,Письменник,селище Буринь,"проспект Трудових резервів, буд. 5, Хоростків, 75282",088 028 55 35,ostap96@example.net
Іщенко,Анастасія,Іванівна,Жіноча,31.08.1970,Льотчик,місто Золочів,"сквер Кристаловського, буд. 805, Сулимівка (Слов'янськ), 77125",101-33-10,darahanzynovii@example.com
Сацюк,Ігор,Володимирович,Чоловіча,12.12.1989,Редактор,місто Обухів,"узвіз Яші Гордієнка, буд. 4, Кобеляки, 01526",+380 91 525-79-87,liudmylataran@example.net
Заїка,Володимира,Миколаївна,Жіноча,03.07.1965,Реабілітолог,селище Горішні Плавні,"парк Вишневий, буд. 5, Моспине, 42744",053 036 88 66,romanzinkevych@example.net
Авраменко,Пантелеймон,Вікторович,Чоловіча,16.09.1987,Стоматолог,хутір Рудки,"провулок Шефська, буд. 5, Мукачево, 34955",+380 31 416-91-15,hpylypenko@example.net
Полтавець,Роксолана,Іванівна,Жіноча,26.11.1944,Пекар,хутір Новогродівка,"парк Зарічна, буд. 66 кв. 17, Вознесенівка, 32941",+380 56 579 46 57,ielyseibevzenko@example.org
Хомик,Ольга,Олександрівна,Жіноча,02.05.1971,Візажист,хутір Жданівка,"площа Чорноморський 1-й, буд. 8 кв. 4, Новогродівка, 10360",784 49 28,zakharenkoodarka@example.net
Даньків,Валерій,Миколайович,Чоловіча,19.04.1952,Лікар,хутір Хмельницький,"вулиця Мукачівський, буд. 2 кв. 54, Костопіль, 22865",067 715 26 27,myroslavderehus@example.com
Редько,Богуслава,Миколаївна,Жіноча,01.07.1965,Швачка,село Ватутіне,"площа Педагогічний, буд. 353, Ворожба, 22999",+380 59 755 52 20,ezhuravel@example.com
Терещук,Ірена,Вікторівна,Жіноча,26.01.1951,Хімік,селище Покровськ,"парк Скидановський узвіз, буд. 5 кв. 44, Берегове, 25487",045 940-76-76,demyd75@example.org
Дейсун,Алла,Василівна,Жіноча,23.05.1971,Астронавт,селище Яворів,"провулок Східний 1-й, буд. 7 кв. 190, Бучач, 58397",+380 (76) 126-46-27,shtepaleon@example.com
Дрозд,Богодар,Сергійович,Чоловіча,18.04.1979,Електрик,селище Жашків,"набережна Регенсбург, буд. 17 кв. 256, Вишгород, 31030",047 003-86-55,khomaalekseienko@example.com
Колодуб,Тарас,Вікторович,Чоловіча,08.03.1955,Музичний редактор,селище Збараж,"провулок Незалежності, буд. 941 кв. 8, Чистякове, 02312",010 921 42 45,klutsenko@example.com
Чалий,Охрім,Іванович,Чоловіча,14.01.1966,Диригент,селище Тульчин,"набережна Учнівська, буд. 4 кв. 368, Ходорів, 31342",042 195 33 93,iaroslavsych@example.com
Шевченко,Леонтій,Володимирович,Чоловіча,16.02.1944,Каскадер,селище Дубляни,"парк Лінія 52-га, буд. 7, Вуглегірськ, 28194",903 37 27,anastasiiabakumenko@example.com
Ірванець,Святослав,Сергійович,Чоловіча,28.01.1960,Фольклорист,село Кремінна,"провулок 1-ша Лінія 4-ї ст. Люстдорфської дороги, буд. 53 кв. 7, Яремче, 97958",+380 31 873-36-96,hennadiilukash@example.com
Вітрук,Ростислав,Васильович,Чоловіча,28.11.1942,Епідеміолог,місто Синельникове,"парк Тіниста, буд. 02, Мукачево, 78348",+380 49 332-36-86,bohodarshapoval@example.org
Чорновіл,Макар,Михайлович,Чоловіча,11.03.2005,Публіцист,село Чистякове,"узвіз 2-га Лінія Марії Демченко, буд. 91, Золочів, 14274",038 497 97 14,cherednykbohdanna@example.org
Пушкар,Азар,Михайлович,Чоловіча,27.03.1959,Публіцист,село Миронівка,"вулиця Дальницька, буд. 2 кв. 36, Червоносів, 69993",+380 37 121-58-75,spas34@example.org
Гузенко,Георгій,Вікторович,Чоловіча,29.07.1992,Каскадер,село Чернівці,"проспект Басейний 3-й, буд. 9, Решетилівка, 73167",643 88 86,boryslavzakharenko@example.net
Арсенич,Михайлина,Олександрівна,Жіноча,01.03.1941,Футболіст,село Маріуполь,"парк Олександра Невського 1-й, буд. 53, Носівка, 92810",+380 (32) 690-26-85,kkomar@example.net
Романчук,Мирон,Васильович,Чоловіча,14.05.1991,Клавішник,селище Білицьке,"набережна Липнева, буд. 59 кв. 241, Корсунь-Шевченківський, 80431",+380 70 920-69-66,nazarriabchenko@example.net
Ґерус,Златослава,Володимирівна,Жіноча,12.09.1949,Кушнір,місто Новогродівка,"площа Сухолиманна, буд. 59, Каховка, 44865",068 257-33-38,albinabaranyk@example.net
Міщенко,Єфрем,Володимирович,Чоловіча,08.05.2007,Кіноактор,хутір Калинівка ,"сквер Довженка, буд. 58 кв. 2, Каховка, 10232",+380 33 381-72-85,rzaporozhets@example.com
Гайденко,Борис,Іванович,Чоловіча,11.04.1992,Кур'єр,місто Конотоп,"узвіз Артезіанська, буд. 265, Моршин, 50082",+380 22 979-43-26,icherednyk@example.com
Гаврилець,Леонід,Васильович,Чоловіча,14.06.1966,Історик,село Запоріжжя,"сквер Бузкова, буд. 65 кв. 5, Херсон, 67999",+380 52 301-49-15,dirvanets@example.com
Михайличенко,Мілена,Олександрівна,Жіноча,14.07.1946,Геолог,хутір Ніжин,"площа Космонавта Комарова, буд. 08, Ясинувата, 85395",014 164 57 02,satsiukliudmyla@example.com
Верес,Федір,Володимирович,Чоловіча,20.10.1953,Бібліограф,селище Ватутіне,"сквер Кропивницького, буд. 905, Рубіжне, 62760",064 916-27-85,marusia88@example.net
Скирда,Климент,Михайлович,Чоловіча,23.08.1958,Прокурор,хутір Борщів,"провулок Василя Кандинського 1-й, буд. 8 кв. 075, Бобринець, 98219",+380 50 839-10-87,trokhymdrobiazko@example.com
